ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
77,0.015,3991,4295,16.0
78,0.004,3169,4294,8.0
79,0.0205,3999,4291,18.242640614509583
80,0.0175,2628,4290,16.242640614509583
81,3.7615,5517,4328,347.17871260643005
82,0.179,376,4289,55.79898953437805
83,0.037,714,4283,25.656854152679443
84,0.004,1207,4276,8.0
85,0.15,2903,4271,62.97056245803833
86,0.014,2889,4268,20.82842707633972
87,5.473,304,4332,487.30360317230225
88,0.1695,178,4268,51.21320295333862
89,0.008,1712,4255,12.0
90,64.1205,900,4436,1719.8103041648865
91,0.031,248,4251,21.656854152679443
92,5.6705,1465,4295,317.86500442028046
93,0.006,694,4246,10.0
94,0.3645,702,4256,112.18376541137695
95,0.004,4879,4243,8.0
96,0.6985,478,4256,167.2964632511139
97,0.503,1110,4230,96.7695517539978
98,0.006,3130,4212,10.0
99,0.021,3180,4212,18.82842707633972
100,0.055,2898,4213,29.313708186149597
101,0.045,3173,4212,26.485281229019165
102,23.573,5616,4344,872.7594462633133
103,0.0145,4894,4207,14.242640614509583
104,0.0215,3165,4206,18.242640614509583
105,53.6845,2401,4363,2685.7312182188034
106,0.004,3133,4201,8.0
107,0.014,4411,4201,13.656854152679443
108,0.0135,1747,4201,15.41421353816986
109,0.1705,1141,4207,70.72792184352875
110,0.006,3064,4198,10.0
111,0.174,1080,4203,68.14213538169861
112,9.571,1535,4240,499.84775936603546
113,0.541,205,4198,107.25483310222626
114,0.1585,532,4185,49.21320295333862
115,2.348,474,4202,314.30865597724915
116,121.5335,1821,4415,2393.800199508667
117,0.377,814,4183,87.59797894954681
118,0.006,2094,4174,10.0
119,10.564,2076,4244,457.70562398433685
120,0.006,2037,4171,10.0
121,0.0315,2026,4171,27.071067690849304
122,0.004,4504,4168,8.0
123,0.02,3004,4169,18.0
124,0.0215,2022,4165,21.071067690849304
125,0.014,2035,4162,13.656854152679443
126,0.026,2029,4163,19.656854152679443
127,0.006,2817,4159,10.0
128,0.004,2812,4159,8.0
129,0.0315,2041,4159,31.899494767189026
130,0.015,2027,4156,16.0
131,8.9015,2284,4190,405.40410828590393
132,0.011,3872,4145,18.82842707633972
133,0.014,3865,4144,13.656854152679443
134,0.1935,4460,4143,54.3847758769989
135,0.116,1007,4130,42.14213538169861
136,1.302,5591,4138,157.7401144504547
137,0.291,1131,4128,83.94112479686737
138,0.004,1837,4117,8.0
139,0.008,1817,4118,18.82842707633972
140,0.076,1828,4120,48.97056245803833
141,1.088,4108,4127,186.2253955602646
142,0.7305,1486,4129,116.66904675960541
143,0.004,3772,4111,8.0
144,0.01,3743,4111,14.0
145,0.0435,4875,4111,25.071067690849304
146,24.759,1290,4234,891.5533831119537
147,0.015,3204,4109,16.0
148,2.9165,3794,4129,362.49242091178894
149,0.545,5493,4120,93.94112503528595
150,4.6725,1961,4142,302.208150267601
151,0.004,1399,4102,8.0
152,0.4045,5653,4116,104.5269113779068
153,0.0645,3757,4100,31.899494767189026
154,0.004,3169,4096,8.0
155,0.004,1945,4096,8.0
156,0.01,4218,4094,20.82842707633972
157,0.1025,4886,4094,43.55634891986847
158,0.01,2810,4090,14.0
159,0.0895,1796,4091,37.899494767189026
160,22.422,45,4225,1006.1564155817032
161,0.023,4209,4082,24.82842707633972
162,0.074,2314,4081,33.31370830535889
163,0.3145,1387,4083,91.69848430156708
164,0.02,4217,4075,24.82842707633972
165,0.401,2410,4085,100.28427040576935
166,0.023,1966,4073,18.82842707633972
167,0.018,1966,4065,17.656854152679443
168,0.015,1717,4064,16.0
169,0.0295,232,4063,23.41421353816986
170,0.004,3142,4057,8.0
171,0.7185,1940,4073,274.2670258283615
172,4.0955,1863,4079,399.8061298131943
173,0.014,13,4051,13.656854152679443
174,46.6465,2866,4265,1948.6875007152557
175,0.004,3001,4036,8.0
176,10.2975,1694,4106,617.0020868778229
177,5.663,5541,4076,405.2203426361084
178,0.0125,13,4031,15.41421353816986
179,0.014,505,4030,13.656854152679443
180,0.014,19,4024,13.656854152679443
181,0.058,742,4014,33.31370830535889
182,0.059,15,4012,33.31370830535889
183,0.012,3,4006,14.0
